gym_name,campus,day,hours
College Avenue Gym,College Avenue,Monday,7AM-11PM
College Avenue Gym,College Avenue,Tuesday,7AM-11PM
College Avenue Gym,College Avenue,Wednesday,7AM-11PM
College Avenue Gym,College Avenue,Thursday,7AM-11PM
College Avenue Gym,College Avenue,Friday,7AM-9PM
College Avenue Gym,College Avenue,Saturday,11AM-7PM
College Avenue Gym,College Avenue,Sunday,11AM-9PM
Cook/Douglass Recreation Center,Cook/Douglass,Monday,8AM-11PM
Cook/Douglass Recreation Center,Cook/Douglass,Tuesday,8AM-11PM
Cook/Douglass Recreation Center,Cook/Douglass,Wednesday,8AM-11PM
Cook/Douglass Recreation Center,Cook/Douglass,Thursday,8AM-11PM
Cook/Douglass Recreation Center,Cook/Douglass,Friday,8AM-7PM
Cook/Douglass Recreation Center,Cook/Douglass,Saturday,11AM-7PM
Cook/Douglass Recreation Center,Cook/Douglass,Sunday,11AM-9PM
Livingston Recreation Center,Livingston,Monday,8AM-11PM
Livingston Recreation Center,Livingston,Tuesday,8AM-11PM
Livingston Recreation Center,Livingston,Wednesday,8AM-11PM
Livingston Recreation Center,Livingston,Thursday,8AM-11PM
Livingston Recreation Center,Livingston,Friday,8AM-7PM
Livingston Recreation Center,Livingston,Saturday,11AM-7PM
Livingston Recreation Center,Livingston,Sunday,11AM-9PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Monday,12PM-9PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Tuesday,12PM-9PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Wednesday,12PM-9PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Thursday,12PM-9PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Friday,12PM-7PM
Rutgers Fitness Center @ Easton Ave,Off Campus,Saturday,Closed
Rutgers Fitness Center @ Easton Ave,Off Campus,Sunday,3PM-9PM
Sonny Werblin Recreation Center,Busch,Monday,7AM-11PM
Sonny Werblin Recreation Center,Busch,Tuesday,7AM-11PM
Sonny Werblin Recreation Center,Busch,Wednesday,7AM-11PM
Sonny Werblin Recreation Center,Busch,Thursday,7AM-11PM
Sonny Werblin Recreation Center,Busch,Friday,7AM-9PM
Sonny Werblin Recreation Center,Busch,Saturday,11AM-7PM
Sonny Werblin Recreation Center,Busch,Sunday,11AM-9PM
